tiempo_t,anio,trimestre,variable,modelo,prediccion,lim_inf_80,lim_sup_80,lim_inf_95,lim_sup_95
2027.5,2027,III,pobreza_total,SARIMA,10.970856574616484,8.190453557628578,13.75125959160439,6.713364454853752,15.228348694379214
2027.75,2027,IV,pobreza_total,SARIMA,10.412648660876243,7.508612422019813,13.316684899732675,5.965843170127335,14.859454151625151
2028.0,2028,I,pobreza_total,SARIMA,9.99533649672949,6.9727197469070195,13.01795324655196,5.366954598563833,14.623718394895146
2028.25,2028,II,pobreza_total,SARIMA,10.076028412424433,6.939310771956407,13.21274605289246,5.272929525457768,14.879127299391097
2028.5,2028,III,pobreza_total,SARIMA,10.466201078593999,7.219389858991102,13.713012298196896,5.494521398577063,15.437880758610934
2028.75,2028,IV,pobreza_total,SARIMA,9.891739147680797,6.53844693920042,13.245031356161174,4.75701045344522,15.026467841916373
2029.0,2029,I,pobreza_total,SARIMA,9.475570827951302,6.019076335669974,12.93206532023263,4.182813636645519,14.768328019257083
2029.25,2029,II,pobreza_total,SARIMA,9.564292658348778,6.007589168474046,13.120996148223512,4.118090439478094,15.010494877219461
2029.5,2029,III,pobreza_total,SARIMA,9.935707618838038,6.281542152605965,13.58987308507011,4.340266748670178,15.531148489005897
2029.75,2029,IV,pobreza_total,SARIMA,9.368426594854094,5.619331931562835,13.117521258145354,3.627625391689353,15.109227798018836
2030.0,2030,I,pobreza_total,SARIMA,8.949851443236554,5.108172600069812,12.791530286403296,3.067280714637481,14.832422171835628
2030.25,2030,II,pobreza_total,SARIMA,9.03153126345661,5.099447607969243,12.963614918943978,3.0105281659915777,15.052534360921644
2030.5,2030,III,pobreza_total,SARIMA,9.410685799178424,5.390229679101145,13.431141919255703,3.25436236531009,15.567009233046758
2030.75,2030,IV,pobreza_total,SARIMA,8.836742742483679,4.729815307869963,12.943670177097395,2.548010108231426,15.125475376735931
2031.0,2031,I,pobreza_total,SARIMA,8.416803265765411,4.225188005164941,12.608418526365881,1.9983923979709406,14.835214133559882
2031.25,2031,II,pobreza_total,SARIMA,8.500092807579959,4.225467206124938,12.77471840903498,1.9545723553519583,15.04561325980796
2031.5,2031,III,pobreza_total,SARIMA,8.872637444138181,4.5165830858535365,13.228691802422826,2.2024292080148182,15.542845680261545
2031.75,2031,IV,pobreza_total,SARIMA,8.30004064436421,3.864052015879393,12.736029272849025,1.5074330569968337,15.092648231731584
2032.0,2032,I,pobreza_total,SARIMA,7.878525822024622,3.3640180247379066,12.393033619311339,0.9656857574293394,14.791365886619905
2032.25,2032,II,pobreza_total,SARIMA,7.95839429084046,3.3667098296129137,12.550078752068007,0.92737745958578,14.989411122095142
2032.5,2032,III,pobreza_total,SARIMA,8.332114741149804,3.664529527016648,12.99969995528296,1.18487488200841,15.479354600291197
2032.75,2032,IV,pobreza_total,SARIMA,7.756311153240061,3.0140398334070833,12.49858247307304,0.4947081947458143,15.017914111734306
2033.0,2033,I,pobreza_total,SARIMA,7.333193333916308,2.5173940429754618,12.148992624857154,-0.04099933033686298,14.707385998169478
2033.25,2033,II,pobreza_total,SARIMA,7.412577721450144,2.5243563321979847,12.300799110702304,-0.07251128084222458,14.897666723742512
2033.5,2033,III,pobreza_total,SARIMA,7.783233418428079,2.823647358074024,12.742819478782135,0.1888672635109332,15.377599573345226
2033.75,2033,IV,pobreza_total,SARIMA,7.2067758052837725,2.176837492563208,12.236714118004336,-0.4953172360695923,14.908868846637137
2034.0,2034,I,pobreza_total,SARIMA,6.782128804937179,1.682808755215829,11.88144885465853,-1.0262050211986384,14.590462631072997
2034.25,2034,II,pobreza_total,SARIMA,6.859316842039296,1.6915464805384968,12.027087203540095,-1.0538315240088023,14.772465208087393
2034.5,2034,III,pobreza_total,SARIMA,7.229228175876843,1.9939023933756177,12.464553958378069,-0.787364428578158,15.245820780331844
2034.75,2034,IV,pobreza_total,SARIMA,6.650700672383835,1.3486801529367431,11.952721191830928,-1.4680182480195247,14.769419592787195
2025.0,2025,I,pobreza_total,Prophet,11.076812377088912,10.460244869294142,11.693379884883681,10.132693380778171,12.020931373399652
2025.25,2025,II,pobreza_total,Prophet,11.519436003470254,10.897860836384364,12.141011170556144,10.567649028869985,12.471222978070523
2025.5,2025,III,pobreza_total,Prophet,11.970415881601378,11.344998202394807,12.595833560807948,11.012745060316316,12.92808670288644
2025.75,2025,IV,pobreza_total,Prophet,11.82731265795059,11.198655591179453,12.455969724721726,10.864681524457286,12.789943791443893
2026.0,2026,I,pobreza_total,Prophet,10.631374491848382,9.999863467340829,11.262885516355935,9.664373235571192,11.598375748125571
2026.25,2026,II,pobreza_total,Prophet,11.073998118230177,10.439906918704391,11.708089317755963,10.103045968956316,12.044950267504039
2026.5,2026,III,pobreza_total,Prophet,11.524977996361462,10.888514081031143,12.161441911691782,10.550392626011911,12.499563366711014
2026.75,2026,IV,pobreza_total,Prophet,11.38187477271023,10.74320238735685,12.020547158063609,10.403907682637868,12.359841862782591
2027.0,2027,I,pobreza_total,Prophet,10.185936606607854,9.545189980860348,10.826683232355359,9.204793335931987,11.16707987728372
2027.25,2027,II,pobreza_total,Prophet,10.6285602329906,9.985851741899943,11.271268724081256,9.64441285600803,11.61270760997317
2027.5,2027,III,pobreza_total,Prophet,11.079540111121306,10.43496563129742,11.724114590945192,10.092535438890978,12.066544783351633
2027.75,2027,IV,pobreza_total,Prophet,10.936436887469364,10.290079477874624,11.582794297064105,9.946702104027418,11.92617167091131
2028.0,2028,I,pobreza_total,Prophet,9.740498721367565,9.092431247762123,10.388566194973007,8.748145402409232,10.732852040325898
2028.25,2028,II,pobreza_total,Prophet,10.183122347748997,9.533409411283829,10.832835284214164,9.188249413786709,11.177995281711285
2028.5,2028,III,pobreza_total,Prophet,10.63410222588043,9.982801616483563,11.285402835277296,9.636798167741476,11.631406284019382
2028.75,2028,IV,pobreza_total,Prophet,10.490999002231034,9.838162817507161,11.143835186954906,9.491343594372603,11.490654410089464
2029.0,2029,I,pobreza_total,Prophet,9.295060836128002,8.6407363586829,9.949385313573103,8.293126480040192,10.296995192215812
2029.25,2029,II,pobreza_total,Prophet,9.737684462508913,9.081914858888045,10.393454066129781,8.733537256964459,10.741831668053367
2029.5,2029,III,pobreza_total,Prophet,10.18866434064051,9.531489225972146,10.845839455308875,9.182364946304578,11.194963734976444
2029.75,2029,IV,pobreza_total,Prophet,10.045561116990164,9.38701701679346,10.70410521718687,9.03716546356396,11.053956770416368
2030.0,2030,I,pobreza_total,Prophet,8.849622950887476,8.189743682941236,9.509502218833715,7.839182821844795,9.860063079930157
2030.25,2030,II,pobreza_total,Prophet,9.292246577269337,8.631063570498863,9.95342958403981,8.279810098152051,10.304683056386622
2030.5,2030,III,pobreza_total,Prophet,9.743226455400357,9.080769018540142,10.405683892260573,8.728838505208152,10.757614405592562
2030.75,2030,IV,pobreza_total,Prophet,9.600123231749293,8.936418781516121,10.263827681982466,8.583825792329748,10.61642067116884
2031.0,2031,I,pobreza_total,Prophet,8.40418506564719,7.73925932194695,9.069110809347432,7.386017520606197,9.422352610688185
2031.25,2031,II,pobreza_total,Prophet,8.846808692029763,8.18068584608013,9.512931537979394,7.826808084169388,9.866809299890138
2031.5,2031,III,pobreza_total,Prophet,9.297788570160447,8.630491430177537,9.965085710143358,8.275989824561616,10.319587315759279
2031.75,2031,IV,pobreza_total,Prophet,9.154685346508934,8.486235464666697,9.823135228351171,8.131121464938008,10.17824922807986
2032.0,2032,I,pobreza_total,Prophet,7.958747180406659,7.289164964054944,8.628329396758375,6.933449411618096,8.984044949195223
2032.25,2032,II,pobreza_total,Prophet,8.401370806789679,7.730675616354819,9.072065997224538,7.3743687964363005,9.428372817143057
2032.5,2032,III,pobreza_total,Prophet,8.852350684920532,8.180560920471178,9.524140449369886,7.823672608107458,9.881028761733607
2032.75,2032,IV,pobreza_total,Prophet,8.709247461270103,8.036380639381745,9.38211428315846,7.678920140253555,9.739574782286649
2033.0,2033,I,pobreza_total,Prophet,7.513309295167337,6.839382117440174,8.1872364728945,6.481358304272618,8.545260286062057
2033.25,2033,II,pobreza_total,Prophet,7.955932921548079,7.280961335908581,8.630904507187578,6.922382681037598,8.989483162058562
2033.5,2033,III,pobreza_total,Prophet,8.40691279967941,7.730912055414328,9.082913543944493,7.371786660023504,9.442038939335319
2033.75,2033,IV,pobreza_total,Prophet,8.26380957602923,7.586794273352621,8.94082487870584,7.227129893805672,9.300489258252789
2034.0,2034,I,pobreza_total,Prophet,7.067871409926807,6.389855544759125,7.74588727509449,6.029659616388793,8.106083203464822
2034.25,2034,II,pobreza_total,Prophet,7.510495036307994,6.8314920408459505,8.189498031770038,6.47077169950674,8.550218373109248
2034.5,2034,III,pobreza_total,Prophet,7.961474914439496,7.281497694012157,8.641452134866835,6.920259795660133,9.002690033218858
2034.75,2034,IV,pobreza_total,Prophet,7.818371690788874,7.1374326574259594,8.499310724151789,6.775683795951911,8.861059585625837
2025.0,2025,I,pobreza_total,Regresion Polinomica (G2),11.223894131413545,10.267763732421436,12.180024530405653,9.759819457956878,12.687968804870211
2025.25,2025,II,pobreza_total,Regresion Polinomica (G2),11.040830101148458,10.08469970215635,11.996960500140567,9.576755427691792,12.504904774605125
2025.5,2025,III,pobreza_total,Regresion Polinomica (G2),10.85475445065822,9.898624051666111,11.810884849650328,9.390679777201553,12.318829124114886
2025.75,2025,IV,pobreza_total,Regresion Polinomica (G2),10.665667179971933,9.709536780979825,11.621797578964042,9.201592506515267,12.1297418534286
2026.0,2026,I,pobreza_total,Regresion Polinomica (G2),10.473568289075047,9.517437890082938,11.429698688067155,9.00949361561838,11.937642962531713
2026.25,2026,II,pobreza_total,Regresion Polinomica (G2),10.27845777796756,9.322327378975451,11.234588176959669,8.814383104510894,11.742532451424227
2026.5,2026,III,pobreza_total,Regresion Polinomica (G2),10.080335646634921,9.124205247642813,11.03646604562703,8.616260973178255,11.544410320091588
2026.75,2026,IV,pobreza_total,Regresion Polinomica (G2),9.879201895120787,8.923071496128678,10.835332294112895,8.41512722166412,11.343276568577453
2027.0,2027,I,pobreza_total,Regresion Polinomica (G2),9.6750565233815,8.718926124389391,10.631186922373608,8.210981849924833,11.139131196838166
2027.25,2027,II,pobreza_total,Regresion Polinomica (G2),9.467899531446164,8.511769132454056,10.424029930438273,8.003824857989498,10.931974204902831
2027.5,2027,III,pobreza_total,Regresion Polinomica (G2),9.257730919285677,8.301600520293569,10.213861318277786,7.793656245829011,10.721805592742344
2027.75,2027,IV,pobreza_total,Regresion Polinomica (G2),9.04455068691459,8.088420287922482,10.000681085906699,7.580476013457924,10.508625360371257
2028.0,2028,I,pobreza_total,Regresion Polinomica (G2),8.828358834362007,7.872228435369898,9.784489233354115,7.36428416090534,10.292433507818673
2028.25,2028,II,pobreza_total,Regresion Polinomica (G2),8.60915536156972,7.653024962577611,9.565285760561828,7.145080688113053,10.073230035026386
2028.5,2028,III,pobreza_total,Regresion Polinomica (G2),8.386940268566832,7.430809869574723,9.34307066755894,6.922865595110165,9.851014942023498
2028.75,2028,IV,pobreza_total,Regresion Polinomica (G2),8.161713555382448,7.20558315639034,9.117843954374557,6.697638881925782,9.625788228839115
2029.0,2029,I,pobreza_total,Regresion Polinomica (G2),7.9334752219729125,6.977344822980804,8.889605620965021,6.469400548516246,9.397549895429579
2029.25,2029,II,pobreza_total,Regresion Polinomica (G2),7.702225268367329,6.74609486937522,8.658355667359437,6.238150594910662,9.166299941823995
2029.5,2029,III,pobreza_total,Regresion Polinomica (G2),7.467963694522041,6.511833295529932,8.42409409351415,6.003889021065374,8.932038367978707
2029.75,2029,IV,pobreza_total,Regresion Polinomica (G2),7.230690500480705,6.274560101488596,8.186820899472814,5.766615827024038,8.694765173937371
2030.0,2030,I,pobreza_total,Regresion Polinomica (G2),6.990405686243321,6.034275287251212,7.946536085235429,5.526331012786654,8.454480359699987
2030.25,2030,II,pobreza_total,Regresion Polinomica (G2),6.747109251795337,5.790978852803228,7.703239650787445,5.28303457833867,8.211183925252003
2030.5,2030,III,pobreza_total,Regresion Polinomica (G2),6.5008011971222,5.544670798130092,7.456931596114309,5.036726523665534,7.964875870578867
2030.75,2030,IV,pobreza_total,Regresion Polinomica (G2),6.251481522253016,5.295351123260907,7.207611921245125,4.7874068487963495,7.7155561957096825
2031.0,2031,I,pobreza_total,Regresion Polinomica (G2),5.9991502271732315,5.043019828181123,6.95528062616534,4.535075553716565,7.463224900629898
2031.25,2031,II,pobreza_total,Regresion Polinomica (G2),5.743807311868295,4.7876769128761865,6.699937710860404,4.2797326384116285,7.207881985324962
2031.5,2031,III,pobreza_total,Regresion Polinomica (G2),5.485452776381862,4.529322377389754,6.441583175373971,4.021378102925196,6.949527449838529
2031.75,2031,IV,pobreza_total,Regresion Polinomica (G2),5.224086620670278,4.267956221678169,6.180217019662386,3.7600119472136115,6.688161294126944
2032.0,2032,I,pobreza_total,Regresion Polinomica (G2),4.959708844762645,4.003578445770536,5.915839243754753,3.4956341713059786,6.423783518219311
2032.25,2032,II,pobreza_total,Regresion Polinomica (G2),4.69231944862986,3.7361890496377512,5.6484498476219684,3.2282447751731937,6.156394122086526
2032.5,2032,III,pobreza_total,Regresion Polinomica (G2),4.421918432286475,3.4657880332943662,5.3780488312785835,2.9578437588298088,5.885993105743141
2032.75,2032,IV,pobreza_total,Regresion Polinomica (G2),4.148505795747042,3.192375396754933,5.10463619473915,2.6844311222903756,5.612580469203708
2033.0,2033,I,pobreza_total,Regresion Polinomica (G2),3.8720815389824566,2.915951139990348,4.828211937974565,2.4080068655257905,5.336156212439123
2033.25,2033,II,pobreza_total,Regresion Polinomica (G2),3.5926456620218232,2.6365152630297146,4.548776061013932,2.128570988565157,5.05672033547849
2033.5,2033,III,pobreza_total,Regresion Polinomica (G2),3.31019816485059,2.354067765858481,4.266328563842698,1.8461234913939237,4.774272838307256
2033.75,2033,IV,pobreza_total,Regresion Polinomica (G2),3.0247390474687563,2.0686086484766477,3.980869446460865,1.5606643740120902,4.488813720925423
2034.0,2034,I,pobreza_total,Regresion Polinomica (G2),2.736268309861771,1.7801379108696622,3.6923987088538794,1.2721936364051047,4.200342983318437
2034.25,2034,II,pobreza_total,Regresion Polinomica (G2),2.444785952073289,1.4886555530811805,3.4009163510653977,0.980711278616623,3.908860625529955
2034.5,2034,III,pobreza_total,Regresion Polinomica (G2),2.1502919740596553,1.1941615750675467,3.106422373051764,0.6862173006029892,3.6143666475163214
2034.75,2034,IV,pobreza_total,Regresion Polinomica (G2),1.8527863758499734,0.8966559768578649,2.808916774842082,0.3887117023933073,3.3168610493066395
2025.0,2025,I,pobreza_hombres,Holt-Winters,8.886999047153777,8.225769136453705,9.54822895785385,7.874490746394291,9.899507347913264
2025.25,2025,II,pobreza_hombres,Holt-Winters,9.044610616501974,8.10949030894318,9.979730924060767,7.612707645552571,10.476513587451375
2025.5,2025,III,pobreza_hombres,Holt-Winters,9.566518172412321,8.421234371595563,10.711801973229079,7.812802352411661,11.32023399241298
2025.75,2025,IV,pobreza_hombres,Holt-Winters,9.260310113508632,7.937850292108487,10.582769934908779,7.23529351198966,11.285326715027605
2026.0,2026,I,pobreza_hombres,Holt-Winters,8.476930024864089,6.99837499578261,9.955485053945567,6.212892636583075,10.740967413145103
2026.25,2026,II,pobreza_hombres,Holt-Winters,8.634541594212287,7.014865710331022,10.254217478093551,6.1544128970191005,11.114670291405474
2026.5,2026,III,pobreza_hombres,Holt-Winters,9.156449150122631,7.406999246972791,10.90589905327247,6.477603985924439,11.835294314320823
2026.75,2026,IV,pobreza_hombres,Holt-Winters,8.850241091218942,6.980000476101355,10.720481706336528,5.986435149320137,11.714047033117748
2027.0,2027,I,pobreza_hombres,Holt-Winters,8.0668610025744,6.083171270474183,10.05055073467462,5.029336100295941,11.10438590485286
2027.25,2027,II,pobreza_hombres,Holt-Winters,8.224472571922597,6.133479997080624,10.31546514676457,5.022640191695826,11.426304952149367
2027.5,2027,III,pobreza_hombres,Holt-Winters,8.746380127832943,6.553328613880595,10.93943164178529,5.38826999709341,12.104490258572476
2027.75,2027,IV,pobreza_hombres,Holt-Winters,8.440172068929254,6.149604467295738,10.73073967056277,4.932740428927934,11.947603708930574
2028.0,2028,I,pobreza_hombres,Holt-Winters,7.656791980284712,5.272693632385125,10.0408903281843,4.00614138506347,11.307442575505954
2028.25,2028,II,pobreza_hombres,Holt-Winters,7.8144035496329085,5.340307769906108,10.28849932935971,4.025944386926245,11.602862712339572
2028.5,2028,III,pobreza_hombres,Holt-Winters,8.336311105543254,5.775378673387655,10.897243537698854,4.414883318804993,12.257738892281516
2028.75,2028,IV,pobreza_hombres,Holt-Winters,8.030103046639566,5.3851834038392745,10.675022689439857,3.98006984360162,12.080136249677512
2029.0,2029,I,pobreza_hombres,Holt-Winters,7.246722957995023,4.520402193360889,9.973043722629157,3.072044287149006,11.42140162884104
2029.25,2029,II,pobreza_hombres,Holt-Winters,7.404334527343219,4.59897360466684,10.209695450019598,3.108625614495013,11.700043440191426
2029.5,2029,III,pobreza_hombres,Holt-Winters,7.926242083253565,5.044007724065525,10.808476442441606,3.512820720746877,12.339663445760253
